profile_description_tr,monthly_data_usage_gb,monthly_voice_min,monthly_spend_try,tenure_months,past_accepted_count,past_rejected_count,complaint_count,data_usage_trend_pct,target_segment,target_priority,is_converted
"102 aylık abone, aylık 14.8 GB veri ve 365 dk konuşma, ortalama 350 TL harcama (ARPU).",14.80828009842931,365.99646988021755,350.49929894017583,102,0,0,1,31.092973638561332,YUKSEK_DEGER,YUKSEK,1
"45 aylık abone, aylık 11.7 GB veri ve 769 dk konuşma, ortalama 394 TL harcama (ARPU).",11.68065485909017,769.7124068951496,394.47819393983195,45,0,1,1,28.32708942662952,YUKSEK_DEGER,YUKSEK,0
"106 aylık abone, aylık 18.7 GB veri ve 727 dk konuşma, ortalama 549 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",18.67260729167689,727.7035721188971,548.9673063764079,106,2,1,0,12.205918944098098,YUKSEK_DEGER,YUKSEK,1
"82 aylık abone, aylık 11.2 GB veri ve 552 dk konuşma, ortalama 312 TL harcama (ARPU), veri kullanımı %21 düşüşte (churn sinyali).",11.178830091609477,552.6462794071881,311.9432371226998,82,1,1,0,-21.278725931331664,RISKLI_KAYIP,YUKSEK,0
"58 aylık abone, aylık 14.1 GB veri ve 547 dk konuşma, ortalama 317 TL harcama (ARPU), geçmişte 5 teklif kabul etmiş sadık müşteri.",14.12033884919129,547.4042392438644,317.38379019730064,58,5,2,0,-4.441378752369241,BELIRSIZ,ORTA,1
"20 aylık abone, aylık 17.2 GB veri ve 232 dk konuşma, ortalama 399 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",17.174879623589717,232.85774519179586,398.90612749799436,20,2,0,0,7.411641070234339,YUKSEK_DEGER,YUKSEK,1
"58 aylık abone, aylık 7.6 GB veri ve 666 dk konuşma, ortalama 273 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",7.623212256840667,666.0130001625243,272.54957712125184,58,2,0,0,41.38553470163168,BELIRSIZ,ORTA,0
"112 aylık abone, aylık 28.9 GB veri ve 723 dk konuşma, ortalama 618 TL harcama (ARPU), veri kullanımı %40 düşüşte (churn sinyali).",28.935597113539806,723.9852664791609,617.9833525816615,112,0,1,0,-39.55923584106764,RISKLI_KAYIP,YUKSEK,0
"89 aylık abone, aylık 6.6 GB veri ve 382 dk konuşma, ortalama 191 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",6.5653481203436055,382.18397677043913,191.3845275414567,89,2,0,1,-16.803601172496485,BELIRSIZ,ORTA,1
"57 aylık abone, aylık 5.9 GB veri ve 568 dk konuşma, ortalama 242 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",5.9256104240780445,568.8357051341794,241.890184196539,57,3,4,0,33.215084803054395,BELIRSIZ,ORTA,1
"102 aylık abone, aylık 19.8 GB veri ve 607 dk konuşma, ortalama 443 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",19.7563891174872,607.5723830017901,442.64856727650283,102,3,0,0,39.004176944849895,YUKSEK_DEGER,YUKSEK,1
"77 aylık abone, aylık 27.6 GB veri ve 716 dk konuşma, ortalama 627 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",27.564564369304257,716.9145255899136,627.1446251523897,77,2,0,1,3.257156568054987,YUKSEK_DEGER,YUKSEK,1
"68 aylık abone, aylık 19.4 GB veri ve 600 dk konuşma, ortalama 464 TL harcama (ARPU).",19.430636834957408,600.7606152246375,464.03542446094804,68,1,1,0,43.46001853058109,YUKSEK_DEGER,YUKSEK,1
"119 aylık abone, aylık 16.0 GB veri ve 274 dk konuşma, ortalama 325 TL harcama (ARPU).",16.0068500851942,274.7361292076832,324.61832230100924,119,1,1,0,-13.334278860535743,BELIRSIZ,ORTA,0
"78 aylık abone, aylık 14.0 GB veri ve 494 dk konuşma, ortalama 389 TL harcama (ARPU), 3 şikayet kaydı (memnuniyetsiz), veri kullanımı %33 düşüşte (churn sinyali).",14.023906244978335,494.0124461075021,389.0372421959433,78,1,0,3,-32.730985101590484,RISKLI_KAYIP,KRITIK,0
"97 aylık abone, aylık 12.5 GB veri ve 644 dk konuşma, ortalama 373 TL harcama (ARPU).",12.455158052229208,644.9251570778039,373.4623047192369,97,1,1,0,24.755756891978194,YUKSEK_DEGER,YUKSEK,0
"92 aylık abone, aylık 33.0 GB veri ve 768 dk konuşma, ortalama 643 TL harcama (ARPU).",32.999484026127014,768.3056684079518,643.271946560174,92,1,0,0,37.36762274030485,YUKSEK_DEGER,YUKSEK,0
"52 aylık abone, aylık 21.4 GB veri ve 476 dk konuşma, ortalama 494 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",21.43657571301935,476.47267812115064,494.4342707420495,52,2,1,0,36.9507297995532,YUKSEK_DEGER,YUKSEK,1
"37 aylık abone, aylık 13.2 GB veri ve 1037 dk konuşma, ortalama 461 TL harcama (ARPU), geçmişte 5 teklif kabul etmiş sadık müşteri.",13.182668296190402,1037.5299749100038,460.79205594043583,37,5,0,0,-16.58611515531446,YUKSEK_DEGER,YUKSEK,0
"8 aylık abone, aylık 10.5 GB veri ve 221 dk konuşma, ortalama 294 TL harcama (ARPU).",10.521607163253613,221.1053862326071,293.7671593230719,8,1,0,0,9.98449657047503,BELIRSIZ,ORTA,1
"44 aylık abone, aylık 25.6 GB veri ve 487 dk konuşma, ortalama 535 TL harcama (ARPU).",25.58003351635191,487.2599649884198,534.8700185332419,44,1,3,1,25.995451174001087,YUKSEK_DEGER,YUKSEK,1
"98 aylık abone, aylık 32.5 GB veri ve 583 dk konuşma, ortalama 631 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",32.52921505088417,583.3932793014453,630.8656011065239,98,2,0,0,12.52444283079237,YUKSEK_DEGER,YUKSEK,0
"108 aylık abone, aylık 30.8 GB veri ve 559 dk konuşma, ortalama 617 TL harcama (ARPU).",30.77512635821394,559.8501672894272,617.4680688320395,108,1,2,0,41.158917728653584,YUKSEK_DEGER,YUKSEK,1
"5 aylık abone, aylık 9.2 GB veri ve 353 dk konuşma, ortalama 283 TL harcama (ARPU).",9.210097020360157,353.5715340370335,282.98334203923065,5,0,0,0,-5.126146430031911,BELIRSIZ,ORTA,0
"118 aylık abone, aylık 13.9 GB veri ve 689 dk konuşma, ortalama 374 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",13.941161953446521,689.5723495503587,373.90978742074367,118,3,2,1,3.2346047419622694,YUKSEK_DEGER,YUKSEK,1
"69 aylık abone, aylık 12.3 GB veri ve 674 dk konuşma, ortalama 356 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",12.280871379872497,674.2188102627844,355.84792913741757,69,3,0,0,10.904761537637432,YUKSEK_DEGER,YUKSEK,1
"31 aylık abone, aylık 15.2 GB veri ve 609 dk konuşma, ortalama 394 TL harcama (ARPU), geçmişte 5 teklif kabul etmiş sadık müşteri.",15.23770225115272,609.5922891963094,393.8333342065807,31,5,0,0,25.813853480905028,YUKSEK_DEGER,YUKSEK,1
"45 aylık abone, aylık 28.8 GB veri ve 666 dk konuşma, ortalama 580 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",28.769886506983873,666.3687726517031,580.3409038286226,45,2,0,0,0.13850671995492636,YUKSEK_DEGER,YUKSEK,1
"9 aylık abone, aylık 38.7 GB veri ve 515 dk konuşma, ortalama 711 TL harcama (ARPU).",38.71117289592974,515.2447177103938,711.0268342421676,9,0,2,0,28.185853598335218,YUKSEK_DEGER,YUKSEK,1
"106 aylık abone, aylık 22.0 GB veri ve 276 dk konuşma, ortalama 440 TL harcama (ARPU), 3 şikayet kaydı (memnuniyetsiz).",21.950112345729714,276.5274099782864,439.73367293572863,106,1,0,3,45.115617701373665,RISKLI_KAYIP,KRITIK,0
"32 aylık abone, aylık 10.8 GB veri ve 456 dk konuşma, ortalama 339 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",10.792376328745867,456.67202598955106,339.2943825586885,32,3,0,0,-7.9517788100417786,BELIRSIZ,ORTA,1
"33 aylık abone, aylık 16.9 GB veri ve 631 dk konuşma, ortalama 440 TL harcama (ARPU), geçmişte 4 teklif kabul etmiş sadık müşteri.",16.91487074386461,631.4109162818883,439.5196539556611,33,4,0,0,0.8835155072524117,YUKSEK_DEGER,YUKSEK,1
"67 aylık abone, aylık 43.1 GB veri ve 632 dk konuşma, ortalama 821 TL harcama (ARPU), geçmişte 4 teklif kabul etmiş sadık müşteri.",43.057410142966475,632.5488829692791,820.9950909572823,67,4,0,1,29.193989794403844,YUKSEK_DEGER,YUKSEK,0
"30 aylık abone, aylık 18.4 GB veri ve 608 dk konuşma, ortalama 422 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",18.37871046771969,608.2758105171696,422.39769590065987,30,2,1,1,53.188209353426906,YUKSEK_DEGER,YUKSEK,1
"114 aylık abone, aylık 14.0 GB veri ve 709 dk konuşma, ortalama 435 TL harcama (ARPU).",14.045351341295694,709.7416535970063,435.4834131904436,114,1,0,0,20.898982134528012,YUKSEK_DEGER,YUKSEK,0
"76 aylık abone, aylık 14.9 GB veri ve 483 dk konuşma, ortalama 383 TL harcama (ARPU).",14.873095392687052,483.7707909099967,382.8557540707104,76,1,1,0,-14.655906750855365,YUKSEK_DEGER,YUKSEK,1
"29 aylık abone, aylık 21.9 GB veri ve 605 dk konuşma, ortalama 478 TL harcama (ARPU).",21.88782286938277,605.3362114221072,478.1826924195858,29,1,2,0,9.954306743077932,YUKSEK_DEGER,YUKSEK,1
"3 aylık abone, aylık 9.4 GB veri ve 714 dk konuşma, ortalama 362 TL harcama (ARPU).",9.449488877815579,714.4185556809842,361.5854980639775,3,0,1,0,29.00483379413729,YUKSEK_DEGER,YUKSEK,1
"90 aylık abone, aylık 12.1 GB veri ve 583 dk konuşma, ortalama 364 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",12.070734813059069,583.0220362995293,364.4527413011059,90,2,0,0,-15.31421418432183,YUKSEK_DEGER,YUKSEK,1
"57 aylık abone, aylık 30.5 GB veri ve 351 dk konuşma, ortalama 553 TL harcama (ARPU), veri kullanımı %22 düşüşte (churn sinyali), geçmişte 2 teklif kabul etmiş sadık müşteri.",30.50178618354795,351.33521431878023,553.3879251359881,57,2,1,1,-21.959505083482703,RISKLI_KAYIP,YUKSEK,1
"30 aylık abone, aylık 21.5 GB veri ve 407 dk konuşma, ortalama 451 TL harcama (ARPU).",21.49995976395432,407.7023260688925,450.9985139851672,30,0,1,0,-3.624575413907216,YUKSEK_DEGER,YUKSEK,1
"9 aylık abone, aylık 18.5 GB veri ve 766 dk konuşma, ortalama 466 TL harcama (ARPU).",18.501802559642957,766.1704648558733,465.9779495185309,9,1,2,0,21.490838710964802,YUKSEK_DEGER,YUKSEK,1
"26 aylık abone, aylık 31.4 GB veri ve 878 dk konuşma, ortalama 776 TL harcama (ARPU), veri kullanımı %29 düşüşte (churn sinyali), geçmişte 2 teklif kabul etmiş sadık müşteri.",31.42479603179794,878.4944325885145,776.0769651956201,26,2,2,0,-29.230356146051307,RISKLI_KAYIP,YUKSEK,1
"2 aylık abone, aylık 10.3 GB veri ve 835 dk konuşma, ortalama 388 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",10.31086970189376,835.0566215648098,387.62671633513816,2,2,2,1,-12.326969691789323,YUKSEK_DEGER,YUKSEK,1
"62 aylık abone, aylık 13.8 GB veri ve 646 dk konuşma, ortalama 391 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",13.754107086547007,646.431189948407,391.2007059333337,62,3,2,0,11.84149712868349,YUKSEK_DEGER,YUKSEK,0
"3 aylık abone, aylık 21.1 GB veri ve 359 dk konuşma, ortalama 452 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",21.059410666966365,359.37347959666147,451.94574760612915,3,2,0,1,32.26296884122041,YUKSEK_DEGER,YUKSEK,1
"46 aylık abone, aylık 20.6 GB veri ve 598 dk konuşma, ortalama 520 TL harcama (ARPU), geçmişte 4 teklif kabul etmiş sadık müşteri.",20.592751121170256,598.7296886454262,520.0120821925641,46,4,1,0,12.255268577385888,YUKSEK_DEGER,YUKSEK,1
"68 aylık abone, aylık 5.4 GB veri ve 912 dk konuşma, ortalama 312 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",5.437700369961716,912.4510263900843,311.55430649428865,68,2,0,1,14.367119598317265,BELIRSIZ,ORTA,0
"25 aylık abone, aylık 12.8 GB veri ve 723 dk konuşma, ortalama 370 TL harcama (ARPU).",12.836812470854909,723.6976760912951,369.59444334511,25,1,1,1,30.123042976244015,YUKSEK_DEGER,YUKSEK,1
"51 aylık abone, aylık 15.5 GB veri ve 558 dk konuşma, ortalama 420 TL harcama (ARPU).",15.50260789791786,558.5044954632255,419.5685144043355,51,0,1,0,44.93144526190779,YUKSEK_DEGER,YUKSEK,0
"13 aylık abone, aylık 22.5 GB veri ve 725 dk konuşma, ortalama 528 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",22.539937818002148,725.7250465682433,527.9957396036416,13,2,0,1,42.13779717163682,YUKSEK_DEGER,YUKSEK,0
"103 aylık abone, aylık 20.5 GB veri ve 346 dk konuşma, ortalama 395 TL harcama (ARPU), veri kullanımı %46 düşüşte (churn sinyali), geçmişte 2 teklif kabul etmiş sadık müşteri.",20.546489370889354,346.12095867687907,395.32467242630105,103,2,0,1,-46.034039901699444,RISKLI_KAYIP,YUKSEK,1
"44 aylık abone, aylık 16.5 GB veri ve 460 dk konuşma, ortalama 351 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",16.471378098451723,460.8657244303596,351.30322341016597,44,3,2,1,7.451447811696928,YUKSEK_DEGER,YUKSEK,1
"35 aylık abone, aylık 3.1 GB veri ve 383 dk konuşma, ortalama 220 TL harcama (ARPU).",3.1343160408118576,383.161721795535,219.52598149647088,35,1,0,0,27.812896610452178,BELIRSIZ,ORTA,0
"55 aylık abone, aylık 17.0 GB veri ve 693 dk konuşma, ortalama 448 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",17.022985266213286,693.9143636696865,448.07698873471514,55,2,0,0,47.494668275531005,YUKSEK_DEGER,YUKSEK,1
"87 aylık abone, aylık 18.1 GB veri ve 742 dk konuşma, ortalama 452 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",18.05230287184,742.8206999440185,451.6616615466317,87,3,1,1,21.024665279630852,YUKSEK_DEGER,YUKSEK,1
"9 aylık abone, aylık 65.5 GB veri ve 569 dk konuşma, ortalama 1140 TL harcama (ARPU).",65.52836170716115,569.2347945603267,1139.7423371882207,9,0,1,0,-16.47965744651129,YUKSEK_DEGER,YUKSEK,0
"2 aylık abone, aylık 15.2 GB veri ve 425 dk konuşma, ortalama 387 TL harcama (ARPU).",15.1653931358213,425.41406465208684,386.7870515079874,2,1,2,0,-13.175321710922802,YUKSEK_DEGER,YUKSEK,0
"61 aylık abone, aylık 21.1 GB veri ve 596 dk konuşma, ortalama 477 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",21.1322602835068,596.0501812930745,477.3917750359555,61,3,0,0,-12.475794023235398,YUKSEK_DEGER,YUKSEK,1
"118 aylık abone, aylık 34.6 GB veri ve 502 dk konuşma, ortalama 626 TL harcama (ARPU).",34.574080686656814,502.6840218652385,625.6654227975774,118,1,2,0,12.687972031265222,YUKSEK_DEGER,YUKSEK,1
"41 aylık abone, aylık 27.8 GB veri ve 440 dk konuşma, ortalama 565 TL harcama (ARPU).",27.78117816122131,440.76585906125104,564.6460697950076,41,1,1,0,-6.995551290611353,YUKSEK_DEGER,YUKSEK,0
"44 aylık abone, aylık 39.7 GB veri ve 667 dk konuşma, ortalama 815 TL harcama (ARPU), veri kullanımı %71 düşüşte (churn sinyali), geçmişte 4 teklif kabul etmiş sadık müşteri.",39.65540741232577,667.7987370618492,814.6412931244633,44,4,0,1,-71.11655412682798,RISKLI_KAYIP,YUKSEK,1
"64 aylık abone, aylık 5.5 GB veri ve 448 dk konuşma, ortalama 257 TL harcama (ARPU), veri kullanımı %24 düşüşte (churn sinyali).",5.511535535811551,448.40155549626525,256.59727367559384,64,0,0,0,-24.457225348210947,RISKLI_KAYIP,YUKSEK,0
"31 aylık abone, aylık 8.1 GB veri ve 286 dk konuşma, ortalama 212 TL harcama (ARPU), 2 şikayet kaydı (memnuniyetsiz), geçmişte 2 teklif kabul etmiş sadık müşteri.",8.089893285408909,286.7300534071815,211.91451181845258,31,2,3,2,-6.106228037978221,RISKLI_KAYIP,YUKSEK,0
"108 aylık abone, aylık 11.5 GB veri ve 331 dk konuşma, ortalama 327 TL harcama (ARPU), veri kullanımı %29 düşüşte (churn sinyali), geçmişte 4 teklif kabul etmiş sadık müşteri.",11.483416978084168,331.1771059273626,326.5618555504865,108,4,1,0,-29.062062248038593,RISKLI_KAYIP,YUKSEK,1
"47 aylık abone, aylık 4.7 GB veri ve 279 dk konuşma, ortalama 183 TL harcama (ARPU), veri kullanımı %25 düşüşte (churn sinyali), geçmişte 2 teklif kabul etmiş sadık müşteri.",4.734811901805303,279.3479066368101,183.28025906459027,47,2,1,1,-25.338236202270046,RISKLI_KAYIP,YUKSEK,1
"2 aylık abone, aylık 18.2 GB veri ve 649 dk konuşma, ortalama 489 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",18.15330962598289,649.5023833152409,489.4345413691533,2,2,0,0,56.274265762267376,YUKSEK_DEGER,YUKSEK,1
"96 aylık abone, aylık 8.6 GB veri ve 630 dk konuşma, ortalama 322 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",8.604278284082687,630.0810876352327,322.2910026883635,96,2,0,0,4.784452645890084,BELIRSIZ,ORTA,1
"82 aylık abone, aylık 42.7 GB veri ve 620 dk konuşma, ortalama 769 TL harcama (ARPU).",42.7404885199789,620.1040189016323,769.4802263010299,82,1,2,0,-4.652867734462307,YUKSEK_DEGER,YUKSEK,1
"77 aylık abone, aylık 9.6 GB veri ve 717 dk konuşma, ortalama 391 TL harcama (ARPU).",9.649229637528673,717.5463304959885,390.6498787873782,77,1,3,0,21.68358569313427,YUKSEK_DEGER,YUKSEK,1
"110 aylık abone, aylık 13.8 GB veri ve 838 dk konuşma, ortalama 426 TL harcama (ARPU), 2 şikayet kaydı (memnuniyetsiz), geçmişte 2 teklif kabul etmiş sadık müşteri.",13.810711633095627,838.3917712234233,426.39254427708767,110,2,0,2,33.65173556625962,RISKLI_KAYIP,YUKSEK,1
"69 aylık abone, aylık 28.8 GB veri ve 481 dk konuşma, ortalama 595 TL harcama (ARPU).",28.78625539352046,481.54669383497696,595.4069843872169,69,1,0,0,61.015391611377154,YUKSEK_DEGER,YUKSEK,1
"58 aylık abone, aylık 6.5 GB veri ve 681 dk konuşma, ortalama 243 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",6.503768506861495,681.2954954476836,243.49428783830382,58,2,2,0,47.634325450752705,BELIRSIZ,ORTA,1
"106 aylık abone, aylık 4.5 GB veri ve 284 dk konuşma, ortalama 189 TL harcama (ARPU).",4.458674468655105,284.07689851882463,188.85529173593346,106,0,2,0,15.87022074062511,BELIRSIZ,ORTA,1
"44 aylık abone, aylık 19.6 GB veri ve 875 dk konuşma, ortalama 552 TL harcama (ARPU), veri kullanımı %33 düşüşte (churn sinyali).",19.599695510232365,875.7419492526701,552.2316544862992,44,0,2,0,-33.320197508580144,RISKLI_KAYIP,YUKSEK,0
"74 aylık abone, aylık 20.6 GB veri ve 351 dk konuşma, ortalama 487 TL harcama (ARPU), veri kullanımı %20 düşüşte (churn sinyali), geçmişte 2 teklif kabul etmiş sadık müşteri.",20.577267589614117,351.0337523563686,486.92537441343757,74,2,0,1,-20.062059535174736,RISKLI_KAYIP,YUKSEK,1
"56 aylık abone, aylık 28.3 GB veri ve 457 dk konuşma, ortalama 608 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",28.266017815989265,457.9837761919125,607.59901632208,56,3,4,0,-5.0464611668703405,YUKSEK_DEGER,YUKSEK,0
"43 aylık abone, aylık 24.2 GB veri ve 480 dk konuşma, ortalama 526 TL harcama (ARPU).",24.234633845670423,480.45809725338154,526.2378682541139,43,0,1,1,17.66408012673498,YUKSEK_DEGER,YUKSEK,1
"89 aylık abone, aylık 21.1 GB veri ve 294 dk konuşma, ortalama 379 TL harcama (ARPU), geçmişte 3 teklif kabul etmiş sadık müşteri.",21.071002566842587,294.74580065555756,378.6828780332987,89,3,3,0,7.357913031960778,YUKSEK_DEGER,YUKSEK,1
"34 aylık abone, aylık 10.5 GB veri ve 606 dk konuşma, ortalama 333 TL harcama (ARPU), veri kullanımı %32 düşüşte (churn sinyali), geçmişte 2 teklif kabul etmiş sadık müşteri.",10.495435277193122,606.5151154817123,332.70273596916195,34,2,1,0,-31.825668464461224,RISKLI_KAYIP,YUKSEK,0
"101 aylık abone, aylık 20.2 GB veri ve 642 dk konuşma, ortalama 464 TL harcama (ARPU), veri kullanımı %36 düşüşte (churn sinyali), geçmişte 3 teklif kabul etmiş sadık müşteri.",20.21464540764912,642.7807736402964,464.0005488864081,101,3,1,1,-36.29377569176294,RISKLI_KAYIP,YUKSEK,1
"30 aylık abone, aylık 21.0 GB veri ve 562 dk konuşma, ortalama 485 TL harcama (ARPU).",21.01857231733872,562.1172658036901,484.7513741653062,30,1,1,0,11.475201339593493,YUKSEK_DEGER,YUKSEK,1
"71 aylık abone, aylık 10.2 GB veri ve 291 dk konuşma, ortalama 225 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",10.208775325213281,291.95047359378464,225.03194961310317,71,2,1,0,8.001013758735525,BELIRSIZ,ORTA,1
"70 aylık abone, aylık 49.9 GB veri ve 996 dk konuşma, ortalama 991 TL harcama (ARPU).",49.89446862125213,996.6772469703424,991.4474714790935,70,0,1,0,-0.24692169028774913,YUKSEK_DEGER,YUKSEK,0
"118 aylık abone, aylık 23.5 GB veri ve 709 dk konuşma, ortalama 529 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",23.53316682707716,709.8461593003296,529.4512417520414,118,2,1,0,17.073151351002313,YUKSEK_DEGER,YUKSEK,1
"55 aylık abone, aylık 8.2 GB veri ve 1126 dk konuşma, ortalama 382 TL harcama (ARPU).",8.202749446267472,1126.8444087299918,381.965132760933,55,1,2,0,36.170311522364855,YUKSEK_DEGER,YUKSEK,0
"67 aylık abone, aylık 28.4 GB veri ve 438 dk konuşma, ortalama 547 TL harcama (ARPU).",28.35194739596696,438.9781520227415,546.9277557643181,67,0,1,0,12.751723416645593,YUKSEK_DEGER,YUKSEK,1
"13 aylık abone, aylık 31.3 GB veri ve 791 dk konuşma, ortalama 674 TL harcama (ARPU), 2 şikayet kaydı (memnuniyetsiz), geçmişte 3 teklif kabul etmiş sadık müşteri.",31.332636975114447,791.5764456353953,674.2292022621484,13,3,3,2,-18.541258869939917,RISKLI_KAYIP,YUKSEK,0
"3 aylık abone, aylık 22.7 GB veri ve 755 dk konuşma, ortalama 550 TL harcama (ARPU).",22.662635745995388,755.8547774788327,549.696334457138,3,1,1,0,52.8804908917487,YUKSEK_DEGER,YUKSEK,0
"26 aylık abone, aylık 14.6 GB veri ve 541 dk konuşma, ortalama 302 TL harcama (ARPU), geçmişte 2 teklif kabul etmiş sadık müşteri.",14.601320985680923,541.8849793805275,302.44200302517584,26,2,0,0,0.592287934416527,BELIRSIZ,ORTA,1
"57 aylık abone, aylık 9.9 GB veri ve 882 dk konuşma, ortalama 303 TL harcama (ARPU).",9.886362245880314,882.2101802118448,303.4444840404377,57,1,1,1,6.249940823188169,BELIRSIZ,ORTA,0
"24 aylık abone, aylık 16.4 GB veri ve 518 dk konuşma, ortalama 390 TL harcama (ARPU).",16.441168387821076,518.9179984772443,390.24038531510877,24,0,0,1,-11.341450958157424,YUKSEK_DEGER,YUKSEK,0
